n,InsertionSortTime(ns),MergeSortTime(ns)
10,550028,425978
60,35735,79502
110,135880,172986
160,279902,269171
210,495393,82264
260,507678,48689
310,824021,97056
360,296477,95230
410,224589,93598
460,252665,86387
510,324347,98249
560,469114,153336
610,583724,201901
660,531189,138475
710,610391,154541
760,695988,154708
810,765231,178648
860,909055,178855
910,1006175,187953
960,1062248,228676
1010,1219646,211610
1060,1315023,226096
1110,1444488,233957
1160,1578440,198273
1210,1770292,194200
1260,1031040,226944
1310,835348,191330
1360,814617,208004
1410,1023986,209578
1460,981657,237623
1510,1042692,221117
1560,1052284,253245
1610,1092561,233986
1660,1175159,244769
1710,1210400,272085
1760,312086,269736
1810,323280,266174
1860,520263,283211
1910,628289,473864
1960,483620,341273
2010,411144,301569
2060,416469,303261
2110,434505,330294
2160,451482,367752
2210,486213,338422
2260,505824,347398
2310,534623,339775
2360,556023,357137
2410,575133,364085
2460,769434,404985
2510,757042,394087
2560,651659,382505
2610,653683,410835
2660,683089,421155
2710,725092,416638
2760,737134,417341
2810,792262,447728
2860,852851,519423
2910,843641,474555
2960,859625,456786
3010,853635,473970
3060,923652,561389
3110,1496762,736042
3160,1632896,800906
3210,1821694,738500
3260,1812535,789535
3310,1355066,703865
3360,1088190,544846
3410,1103786,563020
3460,1253990,574463
3510,1229845,570135
3560,1255051,2306031
3610,1398079,514391
3660,1322636,640166
3710,1340877,485714
3760,1392175,579489
3810,1413364,454193
3860,1660604,443251
3910,1519422,424116
3960,1517917,431402
4010,1576636,435734
4060,1619059,438613
4110,1646879,455773
4160,1662060,460095
4210,1755325,462484
4260,1711271,479292
4310,1764473,473455
4360,1841385,480613
4410,1897804,483247
4460,1884220,571833
4510,1947095,503084
4560,1976020,513327
4610,2023523,506092
4660,2093447,514063
4710,2103844,526293
4760,2180208,532922
4810,2222370,530495
4860,2230444,534493
4910,2307150,548690
4960,2319262,553506
5010,2371608,553736
5060,2397135,562068
5110,2449635,562428
5160,2528094,760759
5210,2554923,818788
5260,2560917,823004
5310,2651433,823402
5360,2724106,835471
5410,2768282,901332
5460,2854464,858498
5510,2837149,856069
5560,2885780,867989
5610,2941399,867486
5660,3032546,878563
5710,3072467,892231
5760,3121646,892627
5810,3104996,901975
5860,3294816,919937
5910,3244483,919689
5960,3336822,922491
6010,3383275,927962
6060,3457900,942268
6110,3474669,1062331
6160,3532408,967438
6210,3684628,975418
6260,3673995,980358
6310,3817752,992631
6360,3825174,1038359
6410,3842933,1004483
6460,3903091,1005089
6510,3941283,1017713
6560,4054893,1027597
6610,4058710,1029020
6660,4128838,1049460
6710,4221339,1051428
6760,4280313,1118683
6810,4314183,1058752
6860,4429985,1073022
6910,4478621,1074035
6960,4524726,1083755
7010,4623238,1101448
7060,4855943,1105573
7110,4727294,1142478
7160,4768472,1109706
7210,4900757,1120513
7260,4952400,1148190
7310,5009130,1198844
7360,5050645,1141743
7410,5103544,1166721
7460,5197628,1168487
7510,5376229,1991449
7560,5434242,929244
7610,5431560,859972
7660,5500999,854294
7710,5482371,865963
7760,5607460,873265
7810,5721819,870433
7860,5761264,883772
7910,5842820,889291
7960,5978281,892475
8010,5990217,899651
8060,6075893,898722
8110,6812040,923371
8160,6208102,906416
8210,6316975,946103
8260,6282871,932006
8310,6499475,939921
8360,6564455,941999
8410,6646216,1306280
8460,6666215,971360
8510,6770679,966283
8560,6868730,968533
8610,7177234,992300
8660,7048665,983235
8710,7404015,997600
8760,7289482,1013075
8810,7188613,1011176
8860,7436534,1014835
8910,7423733,1017015
8960,7425329,1020562
9010,7621169,1027865
9060,7682600,1036133
9110,7726801,1058484
9160,7915826,1052772
9210,7920161,1050742
9260,7913823,1060612
9310,8116098,1067885
9360,8174144,1075144
9410,8361195,1086201
9460,8327712,1087214
9510,8618193,1105351
9560,8571233,1114741
9610,8562341,1114691
9660,8701111,1115583
9710,8720787,1137733
9760,8806479,1123234
9810,9082390,1133325
9860,9955204,1162496
9910,9059413,1156293
9960,9217222,1158154
